date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,wdsp,ind,hm,ind,ddhm,ind,hg,sun,dos,g_rad,soil,pe,evap,smd_wd,smd_md,smd_pd
1-Jan-42,0,9.7,0,6.8,0,4.7,2,0,1020.3,17.2,1, ,1, ,1, ,0,0, , ,1.1,1.4, , , 
2-Jan-42,0,9.9,0,7.9,0,6.7,0,0.1,1016.2,15.2,1, ,1, ,1, ,0,0, , ,0.7,0.9, , , 
3-Jan-42,0,11.2,0,8.9,0,7.2,0,1.5,1006.8,14,1, ,1, ,1, ,0.1,0, , ,0.5,0.6, , , 
4-Jan-42,0,9.2,0,2.7,0,3.4,0,3.5,1001.5,17,1, ,1, ,1, ,0.6,0, , ,0.6,0.7, , , 
5-Jan-42,0,3.5,1,-0.8,0,0,0,0.6,1013.4,13,1, ,1, ,1, ,3.4,0, , ,0.6,0.7, , , 
6-Jan-42,0,5.1,0,0.7,1,-3.7,2,0,1021.1,9.7,1, ,1, ,1, ,0.1,0, , ,0.4,0.5, , , 
7-Jan-42,0,7.1,0,0.5,1,-1,3,0,1021.7,10.3,1, ,1, ,1, ,4,0, , ,0.2,0.2, , , 
8-Jan-42,0,7.1,0,1.4,0,0.2,3,0,1016.8,9.3,1, ,1, ,1, ,3.7,0, , ,0.2,0.2, , , 
9-Jan-42,0,4.5,0,0.7,0,0.9,0,0.2,1012,11.8,1, ,1, ,1, ,0.6,0, , ,0.5,0.7, , , 
10-Jan-42,0,5.3,1,-2.8,1,-4.1,3,0,1015.9,4,1, ,1, ,1, ,5,0, , ,0,0.1, , , 
11-Jan-42,0,4,1,-2.6,1,-9.5,0,1.1,1014.6,2.8,1, ,1, ,1, ,1.6,0, , ,0.2,0.3, , , 
12-Jan-42,0,5.1,0,0.1,1,-1.1,0,2.5,999.5,8.6,1, ,1, ,1, ,0,0, , ,0.3,0.5, , , 
13-Jan-42,0,4.8,1,-1.4,1,-2,0,0.2,987,7.5,1, ,1, ,1, ,6.1,0, , ,0,0, , , 
14-Jan-42,0,4.7,1,-3.1,1,-8,0,0.1,996.9,3.8,1, ,1, ,1, ,3.8,0, , ,0.1,0.2, , , 
15-Jan-42,0,4.5,0,0.2,1,-7.8,0,2.1,997.2,26.3,1, ,1, ,1, ,0,0, , ,0.4,0.7, , , 
16-Jan-42,0,4.4,0,3,0,2.2,0,9.6,996.9,18,1, ,1, ,1, ,0,0, , ,0.4,0.6, , , 
17-Jan-42,0,8.5,0,0.8,0,1.7,0,4.5,1006.8,7.1,1, ,1, ,1, ,6,0, , ,0,0.1, , , 
18-Jan-42,0,7.8,0,1.4,0,1.2,3,0,1007.5,8.4,1, ,1, ,1, ,4.5,0, , ,0.1,0.2, , , 
19-Jan-42,0,7.9,0,3.9,1,-4.3,0,23.1,1004.1,17,1, ,1, ,1, ,0,0, , ,0.4,0.6, , , 
20-Jan-42,0,7.4,1,-0.7,1,-1.7,0,0.1,1005.3,7.3,1, ,1, ,1, ,2.3,0, , ,0.3,0.4, , , 
21-Jan-42,0,6.5,0,5.1,0,2.2,0,1,1006.2,19.9,1, ,1, ,1, ,0,0, , ,0.3,0.6, , , 
22-Jan-42,0,7.7,0,3.4,0,2.8,0,7.6,1007.5,8.3,1, ,1, ,1, ,0,0, , ,0.5,0.6, , , 
23-Jan-42,0,11.9,0,7.2,0,3,0,5.8,998,19.6,1, ,1, ,1, ,0,0, , ,0.5,0.8, , , 
24-Jan-42,0,10.4,0,3.4,0,1.8,0,2.9,990.1,19.1,1, ,1, ,1, ,0.1,0, , ,0.9,1.2, , , 
25-Jan-42,0,5.9,0,1.8,0,0.6,0,1.1,989.5,24.3,1, ,1, ,1, ,4.8,0, , ,0.9,1.3, , , 
26-Jan-42,0,6.1,1,-0.1,1,-1.2,3,0,1000.8,10.9,1, ,1, ,1, ,6.7,0, , ,0.4,0.5, , , 
27-Jan-42,0,9.1,0,2.1,1,-0.8,0,3.9,996.8,20.4,1, ,1, ,1, ,2.2,0, , ,0.4,0.6, , , 
28-Jan-42,0,6,0,1.4,0,0.1,0,3.4,990.2,19.7,1, ,1, ,1, ,6.4,0, , ,0.7,0.9, , , 
29-Jan-42,0,5.6,1,-0.6,0,0.3,0,0.6,996.3,11.4,1, ,1, ,1, ,6.8,0, , ,0.2,0.3, , , 
30-Jan-42,0,6.6,0,1.1,1,-6.3,0,11,996.7,16.9,1, ,1, ,1, ,1.6,0, , ,0.4,0.6, , , 
31-Jan-42,0,6,1,-0.2,1,-2.7,0,5.4,1004.4,8.2,1, ,1, ,1, ,2.4,0, , ,0.4,0.5, , , 
1-Feb-42,0,9.9,0,6,0,2.9,0,1.6,1005,19.5,1, ,1, ,1, ,0,0, , ,0.4,0.6, , , 
2-Feb-42,0,9.6,0,5.6,0,6,0,2.5,1007,10.6,1, ,1, ,1, ,0.1,0, , ,0.3,0.5, , , 
3-Feb-42,0,11.6,0,7.1,0,5.8,0,0.4,1003.4,17,1, ,1, ,1, ,1.4,0, , ,0.8,1.1, , , 
4-Feb-42,0,7.5,0,2.3,0,3.2,0,1.1,1011,11.2,1, ,1, ,1, ,0,0, , ,0.7,1, , , 
5-Feb-42,0,3.6,1,-0.2,1,-1.5,0,0.1,1020,10.9,1, ,1, ,1, ,2.7,0, , ,0.9,1.2, , , 
6-Feb-42,0,4.4,1,-0.6,1,-2.4,0,1.3,1015.9,8.4,1, ,1, ,1, ,0,0, , ,0.3,0.4, , , 
7-Feb-42,0,5.2,0,1.4,0,2.4,0,0.1,1016.5,7.2,1, ,1, ,1, ,1.2,0, , ,0.5,0.6, , , 
8-Feb-42,0,3.2,1,-3.2,1,-7.8,2,0,1020,7.5,1, ,1, ,1, ,0,0, , ,0.3,0.4, , , 
9-Feb-42,0,7.5,0,3.2,0,2,2,0,1015.8,6.9,1, ,1, ,1, ,0.2,0, , ,0.5,0.6, , , 
10-Feb-42,0,9.3,1,-1.4,0,3.4,0,0.5,1009.3,13.3,1, ,1, ,1, ,0.5,0, , ,0.8,1.1, , , 
11-Feb-42,0,3.1,1,-4.2,1,-5.7,3,0,1010.3,9.8,1, ,1, ,1, ,0.6,0, , ,0.5,0.7, , , 
12-Feb-42,0,9,0,3.1,0,0.3,0,0.5,1005.1,18.2,1, ,1, ,1, ,0.1,0, , ,1,1.4, , , 
13-Feb-42,0,5.7,1,-1.1,1,-0.7,0,0,1012.7,11,1, ,1, ,1, ,2.4,0, , ,0.5,0.7, , , 
14-Feb-42,0,5.9,1,-0.1,1,-4.9,3,0,1022.6,1.9,1, ,1, ,1, ,2.1,0, , ,0.5,0.8, , , 
15-Feb-42,0,7.1,1,-2.2,1,-8.9,2,0,1025.5,6.3,1, ,1, ,1, ,1.5,0, , ,0.6,0.8, , , 
16-Feb-42,0,5.7,1,-1.1,0,0.4,3,0,1029.4,9.3,1, ,1, ,1, ,4.9,0, , ,0.5,0.8, , , 
17-Feb-42,0,3.9,1,-1.7,1,-8.3,3,0,1031.1,7.5,1, ,1, ,1, ,4.7,0, , ,0.5,0.8, , , 
18-Feb-42,0,3.6,0,1.1,0,1.3,0,0,1028.3,10.2,1, ,1, ,1, ,0,0, , ,0.7,1, , , 
19-Feb-42,0,3.7,1,-0.5,0,0,3,0,1025.6,6.6,1, ,1, ,1, ,0.4,0, , ,0.6,0.8, , , 
20-Feb-42,0,4.6,1,-2.1,1,-7.8,3,0,1018,5.2,1, ,1, ,1, ,6.2,0, , ,0.5,0.8, , , 
21-Feb-42,0,2.9,1,-0.8,1,-8.9,2,0,1008.5,9.8,1, ,1, ,1, ,0.4,0, , ,0.8,1.1, , , 
22-Feb-42,0,0,1,-2.3,1,-1.7,0,2,1002.3,10.6,1, ,1, ,1, ,0.4,0, , ,0.5,0.8, , , 
23-Feb-42,0,2.4,1,-2.4,1,-3.3,0,0.7,999.8,8.7,1, ,1, ,1, ,5.6,0, , ,0.7,1.1, , , 
24-Feb-42,0,3.9,1,-2.7,1,-4.6,2,0,999.9,2.2,1, ,1, ,1, ,0.4,0, , ,0.5,0.7, , , 
25-Feb-42,0,6.2,1,-2.2,1,-8.3,0,0.1,1004.7,2,1, ,1, ,1, ,6.7,0, , ,0.6,1, , , 
26-Feb-42,0,7.3,1,-4.3,1,-10.7,3,0,1007.7,3.1,1, ,1, ,1, ,8.4,0, , ,0.7,1.1, , , 
27-Feb-42,0,7.4,0,2.2,1,-4.3,0,7,1001.8,11.8,1, ,1, ,1, ,0.5,0, , ,0.8,1.2, , , 
28-Feb-42,0,8.3,0,0.7,1,-0.6,0,7.9,996.8,5.9,1, ,1, ,1, ,0,0, , ,0.6,0.8, , , 
1-Mar-42,0,5.8,0,3.3,0,2.8,0,0.3,1002.1,10.6,1, ,1, ,1, ,0.9,0, , ,0.7,1.1, , , 
2-Mar-42,0,6.1,0,2.1,0,1.7,2,0,1004.2,21.6,1, ,1, ,1, ,0,0, , ,0.6,1.1, , , 
3-Mar-42,0,7.6,0,5.7,0,5,0,1.2,997.5,23.3,1, ,1, ,1, ,0,0, , ,0.5,1, , , 
4-Mar-42,0,11.6,0,6.1,0,5.9,0,7.7,992,9.1,1, ,1, ,1, ,2.5,0, , ,1,1.4, , , 
5-Mar-42,0,6.2,1,-0.8,0,0.1,0,14.5,997.6,15.8,1, ,1, ,1, ,0,0, , ,0.5,0.9, , , 
6-Mar-42,0,0.9,1,-4.4,1,-1,0,12.2,1000.5,6.8,1, ,1, ,1, ,0.2,0, , ,0.4,0.7, , , 
7-Mar-42,0,5.4,1,-6.1,1,-8.3,0,0,1003.2,10.4,1, ,1, ,1, ,3.9,0, , ,0.8,1.2, , , 
8-Mar-42,0,7,0,3.6,0,0.8,0,8.8,1001,16.3,1, ,1, ,1, ,0.6,0, , ,0.9,1.4, , , 
9-Mar-42,0,4.6,0,1.4,0,1.6,0,6.9,1003.5,8.3,1, ,1, ,1, ,0,0, , ,0.5,0.8, , , 
10-Mar-42,0,6.7,0,4.4,0,3.3,0,0,1006.1,7.9,1, ,1, ,1, ,0,0, , ,0.7,1, , , 
11-Mar-42,0,5.8,0,3.4,0,1.6,0,0.3,1004.9,7.5,1, ,1, ,1, ,0,0, , ,0.8,1.1, , , 
12-Mar-42,0,7.2,0,4.4,0,1.8,0,3,998.6,14.9,1, ,1, ,1, ,0,0, , ,0.5,0.9, , , 
13-Mar-42,0,6.1,0,5,0,3.7,0,2.5,991.1,17,1, ,1, ,1, ,0,0, , ,0.6,1.1, , , 
14-Mar-42,0,10.6,0,5.2,0,4.4,0,3.9,987.3,11.2,1, ,1, ,1, ,0.3,0, , ,0.7,1.1, , , 
15-Mar-42,0,14.8,0,6.3,0,3.1,0,0.7,991.3,13.1,1, ,1, ,1, ,4.2,0, , ,1.4,2, , , 
16-Mar-42,0,12.5,0,6.3,0,2.8,0,2.5,991,14.9,1, ,1, ,1, ,0,0, , ,0.7,1.2, , , 
17-Mar-42,0,14.4,0,6.2,0,1.1,0,0.5,986.5,5.5,1, ,1, ,1, ,3.6,0, , ,1.3,1.7, , , 
18-Mar-42,0,11.1,0,4.5,0,1.7,3,0,988.8,5.3,1, ,1, ,1, ,0.3,0, , ,0.8,1.1, , , 
19-Mar-42,0,9.9,0,6.1,0,3.2,0,1.8,997.8,5.1,1, ,1, ,1, ,0.5,0, , ,0.8,1.1, , , 
20-Mar-42,0,11.7,0,4.9,0,4.4,2,0,1006.8,7.2,1, ,1, ,1, ,2.7,0, , ,1.4,1.9, , , 
21-Mar-42,0,11.6,0,1.3,0,0.8,3,0,1013.3,6.2,1, ,1, ,1, ,10.4,0, , ,1.4,2.2, , , 
22-Mar-42,0,11,0,2.8,0,2.2,3,0,1020.2,5.7,1, ,1, ,1, ,7.6,0, , ,1.2,1.9, , , 
23-Mar-42,0,11.2,0,0.3,1,-0.4,3,0,1022.8,3.7,1, ,1, ,1, ,8.8,0, , ,1.3,1.8, , , 
24-Mar-42,0,16.2,0,0.7,1,-2.1,3,0,1018.4,3.5,1, ,1, ,1, ,10.4,0, , ,1.9,2.7, , , 
25-Mar-42,0,9.9,0,1.6,0,1.1,3,0,1014.3,7.3,1, ,1, ,1, ,3.3,0, , ,0.9,1.4, , , 
26-Mar-42,0,7.8,0,1.3,1,-0.6,3,0,1008.2,9.8,1, ,1, ,1, ,1.7,0, , ,0.9,1.4, , , 
27-Mar-42,0,9.2,0,4.5,0,2.5,3,0,1002.7,12.1,1, ,1, ,1, ,4.2,0, , ,1.4,2.2, , , 
28-Mar-42,0,6.8,0,3.7,0,3.6,2,0,1005.6,14.2,1, ,1, ,1, ,0.2,0, , ,1.4,2.1, , , 
29-Mar-42,0,9.8,0,4.9,0,3.9,0,1.4,1002.6,10.4,1, ,1, ,1, ,0,0, , ,1,1.4, , , 
30-Mar-42,0,16,0,4.4,0,2.8,0,0.2,996.8,11.1,1, ,1, ,1, ,3.5,0, , ,1.5,2.2, , , 
31-Mar-42,0,14.8,0,6,0,7.6,0,8,989.8,17.1,1, ,1, ,1, ,4.1,0, , ,1.9,2.9, , , 
1-Apr-42,0,8.9,0,3.1,0,2.7,0,8.7,996.5,25,1, ,1, ,1, ,4.6,0, , ,1.7,3.2, , , 
2-Apr-42,0,10.4,0,0.8,0,0,0,0.3,1004.9,13.2,1, ,1, ,1, ,8.3,0, , ,1.6,2.7, , , 
3-Apr-42,0,9.7,0,3.3,0,5.6,0,3.1,997.2,12.9,1, ,1, ,1, ,0.8,0, , ,1.4,2.1, , , 
4-Apr-42,0,9.8,0,1.1,1,-0.4,0,3.5,983.3,14.4,1, ,1, ,1, ,0.1,0, , ,1,1.6, , , 
5-Apr-42,0,12.2,0,6.1,0,4.4,0,2.8,978.4,22,1, ,1, ,1, ,9,0, , ,2.4,4.2, , , 
6-Apr-42,0,13.4,0,6.4,0,5.7,0,5.3,978.8,20.3,1, ,1, ,1, ,4.4,0, , ,2.4,3.7, , , 
7-Apr-42,0,12.3,0,4.9,0,3.9,0,2.6,977.5,18.6,1, ,1, ,1, ,3.8,0, , ,2,3.2, , , 
8-Apr-42,0,9.4,0,2.4,0,1.3,0,0.6,989.3,23.7,1, ,1, ,1, ,5.5,0, , ,2.1,3.8, , , 
9-Apr-42,0,12.3,0,6,0,2.7,0,3.6,982.5,19,1, ,1, ,1, ,2.9,0, , ,2.1,3.3, , , 
10-Apr-42,0,13.5,0,4.5,0,3.3,0,0,999,17.1,1, ,1, ,1, ,8.8,0, , ,2.4,3.9, , , 
11-Apr-42,0,15.7,0,8.6,0,7.8,0,0,1007.8,15,1, ,1, ,1, ,8,0, , ,2.1,3.5, , , 
12-Apr-42,0,12.9,0,9.1,0,9.1,0,0.1,1001.3,19.8,1, ,1, ,1, ,0,0, , ,1.7,2.6, , , 
13-Apr-42,0,10.2,0,6.8,0,8.2,0,2.8,1003.2,4.6,1, ,1, ,1, ,0,0, , ,0.9,1.3, , , 
14-Apr-42,0,11,0,5.7,0,6.4,3,0,1013.4,10.7,1, ,1, ,1, ,8,0, , ,1.8,2.9, , , 
15-Apr-42,0,14.4,0,3.1,0,0.6,3,0,1020.8,8.3,1, ,1, ,1, ,12.3,0, , ,2.5,3.8, , , 
16-Apr-42,0,16.2,0,4.4,0,1.2,3,0,1018.2,5.3,1, ,1, ,1, ,13.1,0, , ,3,4.2, , , 
17-Apr-42,0,12.7,0,4.2,0,1.8,3,0,1009.7,10.7,1, ,1, ,1, ,12,0, , ,2.5,3.9, , , 
18-Apr-42,0,12.7,0,5.6,0,4,3,0,999.8,9.2,1, ,1, ,1, ,9.4,0, , ,2.3,3.5, , , 
19-Apr-42,0,11.4,0,5.4,0,4.4,3,0,997.5,6.1,1, ,1, ,1, ,2.1,0, , ,1.5,2.1, , , 
20-Apr-42,0,13.1,0,5.7,0,4.4,3,0,1002.4,9.2,1, ,1, ,1, ,2.3,0, , ,2.1,2.8, , , 
21-Apr-42,0,12.1,0,7,0,6.1,0,0,1005.7,5.5,1, ,1, ,1, ,4.8,0, , ,2.1,2.8, , , 
22-Apr-42,0,13.9,0,7.3,0,5.6,2,0,1006.1,3,1, ,1, ,1, ,2.4,0, , ,1.8,2.4, , , 
23-Apr-42,0,9.9,0,5.7,0,6.8,0,3.4,1010,13.5,1, ,1, ,1, ,0,0, , ,1.2,2, , , 
24-Apr-42,0,8.4,0,4.6,0,3.8,0,0.1,1013.6,19.9,1, ,1, ,1, ,9,0, , ,2.2,4.1, , , 
25-Apr-42,0,10.8,0,3.3,0,1.8,0,0,1009.9,20.9,1, ,1, ,1, ,10.4,0, , ,2.8,5, , , 
26-Apr-42,0,10.7,0,3.7,0,2.3,0,0,1006.8,21.9,1, ,1, ,1, ,9.5,0, , ,2.6,4.8, , , 
27-Apr-42,0,13.1,0,4.9,0,2.8,0,0,1008,20.1,1, ,1, ,1, ,8.7,0, , ,3,5, , , 
28-Apr-42,0,12.4,0,5.4,0,5.1,0,0,1010.7,23,1, ,1, ,1, ,10.4,0, , ,3.3,5.8, , , 
29-Apr-42,0,11.7,0,4.9,0,3.8,0,0,1013,25.3,1, ,1, ,1, ,3.5,0, , ,2.8,4.8, , , 
30-Apr-42,0,12.2,0,4.4,0,2.7,0,0,1016.8,14.8,1, ,1, ,1, ,11.3,0, , ,3,4.9, , , 
1-May-42,0,17.2,0,2.8,1,-0.6,3,0,1014.7,5.3,1, ,1, ,1, ,12.2,0, , ,3.3,4.6, , , 
2-May-42,0,14.1,0,1.8,1,-0.7,0,0,1012,6.5,1, ,1, ,1, ,12.4,0, , ,3,4.3, , , 
3-May-42,0,17.9,0,3.3,0,0.3,3,0,1014.7,7.4,1, ,1, ,1, ,12.8,0, , ,3.5,5, , , 
4-May-42,0,17.3,0,3.2,0,0.2,0,0,1017.3,5.9,1, ,1, ,1, ,11.8,0, , ,3.1,4.4, , , 
5-May-42,0,18.4,0,7.3,0,6.5,0,0,1015.7,12.6,1, ,1, ,1, ,8.7,0, , ,3.6,5.2, , , 
6-May-42,0,20.9,0,5.6,0,4.4,0,0,1009.7,17.3,1, ,1, ,1, ,13.3,0, , ,5,7.4, , , 
